Time,Drag_Force_X,Drag_Force_Y,Drag_Force_Z,Delta,DC,Front_Left_Steering_Angle,Front_Right_Steering_Angle,Delta_Measured,Vx,Vy,R,Torque_OK,Alpha_F,Alpha_F_Left,Alpha_F_Right,Alpha_R_Left,Alpha_R,Alpha_R_Right,Fy_F,Fy_F_Left,Fy_F_Right,Fy_R,Fy_R_Left,Fy_R_Right,Fx
1361652000000,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.03727535718729756,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,819.9997568457835
1361657000000,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.05591301643777262,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,819.9990273834226
1361662000000,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.07455064805517561,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,819.9978116142149
1361667000000,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.09318824098635245,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,819.9961095406122
1361672000000,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.11182578417823096,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,819.9939211662193
1361677000000,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.13046326657784715,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,819.991246495795
1361682000000,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.1491006771323714,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,819.9880855352517
1361687000000,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.1677380047891347,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,819.9844382916551
1361692000000,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.18637523849565482,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,819.9803047732246
1361697000000,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.20501236719966262,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,819.975684989333
1361702000000,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.2236493798491282,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,819.9705789505066
1361707000000,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.24228626539228706,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,819.9649866684251
1361712000000,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.26092301277766644,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,819.9589081559216
1361717000000,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.27955961095411147,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,819.9523434269821
1361722000000,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.29819604887081136,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,819.9452924967462
1361727000000,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.31683231547732565,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,819.9377553815065
1361732000000,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.3354683997236104,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,819.9297320987085
1361737000000,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.35410429056004444,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,819.9212226669508
1361742000000,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.37273997693745536,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,819.9122271059849
1361747000000,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.39137544780714606,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,819.9027454367149
1361752000000,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.41001069212092073,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,819.8927776811977
1361757000000,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.428645698831111,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,819.8823238626426
1361762000000,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.44728045689060225,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,819.8713840054115
1361767000000,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.46591495525285986,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,819.8599581350186
1361772000000,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.4845491828719552,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,819.8480462781303
1361777000000,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.503183128702592,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,819.8356484625647
1361782000000,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.5218167817001323,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,819.8227647172923
1361787000000,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.5404501308206231,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,819.8093950724353
1361792000000,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.5590831650208218,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,819.7955395592671
1361797000000,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.577715873258223,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,819.7811982102132
1361802000000,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.5963482444910846,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,819.7663710588498
1361807000000,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.6149802676784535,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,819.7510581399047
1361812000000,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.6336119317801924,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,819.7352594892564
1361817000000,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.6522432257570053,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,819.718975143934
1361822000000,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.6708741385704644,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,819.7022051421179
1361827000000,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.6895046591830355,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,819.6849495231381
1361832000000,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.7081347765581045,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,819.6672083274755
1361837000000,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.7267644796600038,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,819.6489815967603
1361842000000,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.7453937574540378,0.0,0.0,False,0.0,0.0,0.0,0.0,0.0,0.0,-0.0,-0.0,-0.0,-0.0,-0.0,-0.0,819.6302693737732
1361847000000,0.0,0.0,0.0,0.025879107111297883,0.2,0.0,0.0,0.0,0.7640225989065096,0.009888318930140805,0.012925907098223274,False,-0.025879107111297883,-0.025879107111297883,-0.025879107111297883,0.0,0.0,0.0,318.73918997598486,318.73918997598486,318.73918997598486,-0.0,-0.0,-0.0,819.611071702444
1361852000000,0.0,0.0,0.0,0.025879107111297883,0.2,0.0,0.0,0.0,0.7826509929847467,0.010129415858511239,0.013241066481714038,False,-0.006103818330930518,-0.005947934713107998,-0.006259701948753037,0.0,0.0,0.0,78.7120402448345,76.7126510654459,80.7114294242231,-0.0,-0.0,-0.0,819.5913886278521
1361857000000,0.0,0.0,0.0,0.025879107111297883,0.2,0.0,0.0,0.0,0.8012789286571277,0.01037050685399001,0.013556218109790866,False,-0.005621725594370464,-0.005458150455382508,-0.005785300733358419,0.0,0.0,0.0,72.52689705100761,70.42621148757361,74.62758261444161,-0.0,-0.0,-0.0,819.571220196226
1361862000000,0.0,0.0,0.0,0.025879107111297883,0.2,0.0,0.0,0.0,0.8199063948931076,0.010611591773814925,0.013871361795836507,False,-0.005139649652821071,-0.004968198171694128,-0.0053111011339480145,-1.7491880243443654e-18,-1.7348421065748707e-18,-1.7204961888053765e-18,66.33435748379301,64.12997044222011,68.53874452536591,2.243344150926374e-14,2.2618950211155956e-14,2.2247932807371526e-14,819.550566454943
1361867000000,0.0,0.0,0.0,0.025879107111297883,0.2,0.0,0.0,0.0,0.8385333806632446,0.01085267047523806,0.014186497353252366,False,-0.004657590908925665,-0.004478078301644164,-0.004837103516207166,-1.749527153690299e-18,-1.734847686737025e-18,-1.7201682197837515e-18,60.13503783817066,57.824567033119855,62.445508643221466,2.2434204958046672e-14,2.2624032671927434e-14,2.224437724416591e-14,819.5294274525294
1361872000000,0.0,0.0,0.0,0.025879107111297883,0.2,0.0,0.0,0.0,0.8571598749392257,0.011093742815526102,0.014501624595458956,False,-0.004175549765281656,-0.003987791285655854,-0.004363308244907459,0.0,0.0,0.0,53.92955505823031,51.51064246650191,56.34846764995869,-0.0,-0.0,-0.0,819.5078032386594
1361877000000,0.0,0.0,0.0,0.025879107111297883,0.2,0.0,0.0,0.0,0.8757858666938936,0.011334808651960696,0.014816743335896332,False,-0.00369352662443952,-0.0034973375649729327,-0.0038897156839061073,0.0,0.0,0.0,47.718526661903994,45.18883997292094,50.248213350887056,-0.0,-0.0,-0.0,819.4856938641559
